height,weight,college,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury
208,113,*,1985,*,*,*,*,2013,27,43.0,3.0,571.0,11.7,7.9,19.8,13.8,40.0,100.0,140.0,153.0,1,2
208,113,*,1985,*,*,*,*,2014,28,26.0,14.0,429.0,12.9,11.4,22.3,16.9,42.0,83.0,125.0,112.0,2,3
206,99,*,1982,*,*,*,*,2010,27,76.0,6.0,1557.0,15.6,9.0,13.9,11.4,127.0,187.0,314.0,733.0,4,1
206,99,*,1982,*,*,*,*,2011,28,80.0,6.0,1416.0,16.5,7.2,17.0,12.1,88.0,208.0,296.0,669.0,5,1
206,99,*,1982,*,*,*,*,2012,29,35.0,0.0,503.0,13.1,7.0,13.5,10.3,31.0,61.0,92.0,225.0,6,1
206,99,*,1982,*,*,*,*,2013,30,28.0,14.0,489.0,11.5,4.8,16.4,10.4,21.0,68.0,89.0,194.0,7,1
213,106,*,1987,*,*,*,*,2011,24,16.0,0.0,80.0,5.3,2.8,7.4,5.0,2.0,5.0,7.0,14.0,0,2
213,106,*,1987,*,*,*,*,2012,25,3.0,0.0,3.0,-13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
213,106,*,1987,*,*,*,*,2014,27,14.0,0.0,74.0,2.9,7.5,20.1,13.7,5.0,13.0,18.0,6.0,3,1
218,115,*,1985,*,*,*,*,2010,24,36.0,0.0,240.0,7.2,12.6,23.9,18.2,26.0,49.0,75.0,62.0,1,1
218,115,*,1985,*,*,*,*,2011,25,31.0,0.0,168.0,19.7,16.9,31.6,24.2,24.0,44.0,68.0,75.0,2,1
218,115,*,1985,*,*,*,*,2012,26,35.0,0.0,206.0,16.3,15.6,24.9,20.1,28.0,43.0,71.0,70.0,3,1
218,115,*,1985,*,*,*,*,2013,27,30.0,0.0,322.0,10.2,15.0,24.7,19.8,43.0,68.0,111.0,84.0,4,1
221,119,*,1987,*,*,*,*,2010,22,68.0,13.0,883.0,12.9,11.2,20.9,16.1,85.0,158.0,243.0,208.0,0,1
221,119,*,1987,*,*,*,*,2011,23,47.0,0.0,373.0,4.7,7.6,16.5,12.0,24.0,51.0,75.0,53.0,1,1
221,119,*,1987,*,*,*,*,2012,24,5.0,0.0,23.0,16.4,5.0,30.6,17.7,1.0,6.0,7.0,6.0,2,2
