height,weight,college,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury
"(203, 215]","(107, 119]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",30.0,0.0,680.0,20.1,10.0,15.6,9.9,60.0,80.0,149.0,413.0,"(5, 11]",2
"(203, 215]","(107, 119]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",66.0,18.0,1462.0,17.8,7.9,10.4,17.4,113.0,208.0,319.0,773.0,"(5, 11]",2
"(203, 215]","(107, 119]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",36.0,15.0,866.0,26.7,10.9,20.0,18.8,82.0,165.0,247.0,434.0,"(11, 17]",2
"(203, 215]","(107, 119]",*,"(1979, 1985]",*,*,*,*,"(2015, 2021]","(29, 35]",49.0,33.0,761.0,15.9,13.9,19.3,16.8,63.0,154.0,225.0,300.0,"(11, 17]",2
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",85.0,9.0,1451.0,16.0,15.2,21.1,16.3,160.0,242.0,395.0,512.0,"(-1, 5]",1
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",77.0,54.0,1853.0,18.2,15.6,14.3,13.3,187.0,274.0,461.0,690.0,"(-1, 5]",2
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",65.0,44.0,1553.0,12.8,12.4,19.2,12.4,150.0,264.0,406.0,452.0,"(5, 11]",2
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",83.0,37.0,2330.0,23.4,12.1,19.3,15.6,225.0,387.0,609.0,818.0,"(5, 11]",1
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",79.0,73.0,2217.0,15.4,8.7,17.2,10.4,176.0,333.0,501.0,805.0,"(5, 11]",1
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",77.0,71.0,1981.0,16.5,6.2,16.3,12.5,160.0,298.0,458.0,694.0,"(5, 11]",2
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",79.0,71.0,1800.0,16.2,9.7,13.2,13.0,178.0,320.0,507.0,577.0,"(5, 11]",1
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",81.0,75.0,1612.0,13.6,7.7,17.4,12.1,121.0,247.0,363.0,522.0,"(5, 11]",3
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",74.0,10.0,2160.0,16.1,11.6,20.7,11.4,191.0,389.0,577.0,652.0,"(-1, 5]",1
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",31.0,31.0,993.0,16.3,7.3,23.0,15.3,98.0,205.0,301.0,282.0,"(5, 11]",3
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",24.0,24.0,783.0,18.9,14.6,25.5,21.5,108.0,178.0,286.0,268.0,"(5, 11]",2
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",25.0,26.0,903.0,17.0,17.0,30.0,24.6,131.0,223.0,363.0,353.0,"(5, 11]",3
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",64.0,26.0,1794.0,18.2,10.0,35.5,13.4,187.0,436.0,629.0,554.0,"(5, 11]",2
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",28.0,27.0,634.0,22.2,0.0,16.7,15.1,57.0,108.0,156.0,255.0,"(5, 11]",3
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2015, 2021]","(29, 35]",33.0,0.0,309.0,10.9,8.4,25.0,15.9,25.0,64.0,92.0,78.0,"(5, 11]",2
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2015, 2021]","(29, 35]",14.0,4.0,94.0,7.6,14.0,15.2,19.4,12.0,14.0,27.0,15.0,"(11, 17]",1
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",81.0,38.0,2254.0,18.7,1.9,17.6,11.6,160.0,348.0,508.0,1143.0,"(-1, 5]",1
