height,weight,college,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury
208,111,*,1986,*,*,*,*,2013,26,71.0,74.0,2760.0,20.3,8.1,20.4,15.6,195.0,561.0,758.0,1286.0,5,2
208,111,*,1986,*,*,*,*,2014,27,26.0,28.0,959.0,22.7,8.2,22.5,13.6,65.0,178.0,243.0,539.0,6,3
208,111,*,1986,*,*,*,*,2015,28,78.0,78.0,2318.0,23.2,9.5,21.0,10.6,130.0,413.0,545.0,1159.0,7,2
208,111,*,1986,*,*,*,*,2016,29,82.0,83.0,2634.0,17.8,4.9,23.3,10.8,147.0,450.0,598.0,1249.0,8,1
208,111,*,1986,*,*,*,*,2017,30,69.0,67.0,2190.0,18.2,1.0,21.4,11.3,100.0,373.0,467.0,957.0,9,2
208,131,*,1985,*,*,*,*,2010,25,78.0,75.0,2463.0,11.8,7.6,26.9,14.1,184.0,524.0,702.0,1303.0,5,1
208,131,*,1985,*,*,*,*,2011,26,81.0,84.0,2941.0,21.0,7.1,23.3,17.1,228.0,562.0,790.0,1528.0,6,1
208,131,*,1985,*,*,*,*,2012,27,53.0,60.0,2078.0,22.1,0.0,26.7,21.5,137.0,451.0,586.0,1171.0,7,2
208,131,*,1985,*,*,*,*,2013,28,79.0,80.0,2577.0,19.3,6.7,27.9,16.5,156.0,563.0,720.0,1389.0,8,2
208,131,*,1985,*,*,*,*,2014,29,73.0,68.0,2555.0,21.8,2.2,28.3,17.5,159.0,634.0,792.0,1593.0,9,1
208,131,*,1985,*,*,*,*,2015,30,66.0,60.0,1995.0,21.5,4.7,23.5,17.3,101.0,443.0,547.0,1080.0,10,1
208,131,*,1985,*,*,*,*,2016,31,46.0,15.0,1097.0,11.9,6.1,25.0,13.8,60.0,242.0,300.0,557.0,11,1
208,131,*,1985,*,*,*,*,2017,32,66.0,2.0,930.0,15.5,8.8,17.2,18.0,76.0,203.0,280.0,528.0,12,3
203,99,*,1983,*,*,*,*,2010,26,74.0,45.0,2091.0,9.7,7.9,10.2,9.4,116.0,178.0,295.0,805.0,2,1
203,99,*,1983,*,*,*,*,2011,27,47.0,20.0,1072.0,13.0,3.1,11.5,8.0,46.0,113.0,153.0,392.0,3,2
